uuid,location,quantity
A016471,010607,24.0
A018703,010607,1.0
A018783,010607,2.0
A019512,010607,1.0
A022108,010607,5.0
A022949,010607,2.0
A023210,010607,2.0
A025205,010607,2.0
A025763,010607,1.0
A027289,010607,15.0
A000285,012303,8.0
A006152,012303,2.0
A012986,012303,2.0
A013448,012303,1.0
A014921,012303,6.0
A019806,012303,26.0
A021277,012303,6.0
A000286,041106,4.0
A001717,041106,62.0
A012908,041106,2.0
A014648,041106,10.0
A016246,041106,1.0
A017698,041106,3.0
A023298,041106,7.0
A027872,041106,14.0
A000288,012819,20.0
A000551,012819,26.0
A001691,012819,340.0
A004344,012819,18.0
A004590,012819,3.0
A007770,012819,4.0
A012425,012819,8.0
A012529,012819,2.0
A013340,012819,6.0
A013679,012819,3.0
A014015,012819,2.0
A015702,012819,1.0
A017339,012819,3.0
